Year,Energy,IPPU,LULUCF,Agriculture,Waste,Total Net Emissions
2004,187.4540804,15.31710354,-224.16943,9.565139069,20.74458242,8.911475471
2005,202.6764146,15.1015986,-197.076764,10.26503606,22.00074845,52.96703371
2006,200.6969324,15.99980457,-233.977985,9.754194334,23.5389172,16.01186348
2007,215.9301529,16.15340189,-206.371098,10.7923254,23.99642691,60.50120911
2008,225.5110918,16.8937752,-228.672298,11.19277098,26.01118734,50.93652733
2009,214.9007324,17.06140315,-240.5338131,9.750722002,26.09531635,27.27436088
2010,232.1825306,16.4717743,-237.3946896,10.15520148,25.68838734,47.10320408
2011,230.603001,17.0422688,-241.2521776,9.906277901,27.08176298,43.38113303
2012,246.2351748,19.71455378,-246.4706811,11.0278554,27.03192776,57.53883062
2013,251.7806634,19.50166848,-248.8064431,10.55865757,27.83901091,60.87355727
2014,255.0797507,20.23539547,-249.9525451,11.09566513,28.37765942,64.83592562
2015,256.8501619,22.24393324,-244.0321186,10.64702791,28.78391007,74.49291456
2016,253.1566433,23.74604271,-215.375049,10.71136096,26.56540611,98.80440405
2017,252.7104851,24.20361569,-243.369727,11.06354379,28.58540497,73.19332253
2018,255.231546,26.69706939,-241.264077,10.69029221,28.24786953,79.60270014
2019,259.3261105,32.85380225,-214.71454,9.9217114,28.25659127,115.6436754
